DriverNumber,Abbreviation,TeamName,Position,Q1,Q2,Q3,RoundNumber,Roundname,Year_Season
44,HAM,Ferrari,1,01:31.212000,01:31.384000,01:30.849000,2,China,2025
1,VER,Red Bull Racing,2,01:31.916000,01:31.521000,01:30.867000,2,China,2025
81,PIA,McLaren,3,01:31.723000,01:31.362000,01:30.929000,2,China,2025
16,LEC,Ferrari,4,01:31.518000,01:31.561000,01:31.057000,2,China,2025
63,RUS,Mercedes,5,01:31.952000,01:31.346000,01:31.169000,2,China,2025
4,NOR,McLaren,6,01:31.396000,01:31.174000,01:31.393000,2,China,2025
12,ANT,Mercedes,7,01:31.999000,01:31.475000,01:31.738000,2,China,2025
22,TSU,Racing Bulls,8,01:32.316000,01:31.794000,01:31.773000,2,China,2025
23,ALB,Williams,9,01:32.462000,01:31.539000,01:31.852000,2,China,2025
18,STR,Aston Martin,10,01:32.327000,01:31.742000,01:31.982000,2,China,2025
14,ALO,Aston Martin,11,01:32.121000,01:31.815000,,2,China,2025
87,BEA,Haas F1 Team,12,01:32.269000,01:31.978000,,2,China,2025
55,SAI,Williams,13,01:32.457000,01:32.325000,,2,China,2025
5,BOR,Kick Sauber,14,01:32.539000,01:32.564000,,2,China,2025
6,HAD,Racing Bulls,15,01:32.171000,,,2,China,2025
7,DOO,Alpine,16,01:32.575000,,,2,China,2025
10,GAS,Alpine,17,01:32.640000,,,2,China,2025
31,OCO,Haas F1 Team,18,01:32.651000,,,2,China,2025
27,HUL,Kick Sauber,19,01:32.675000,,,2,China,2025
30,LAW,Red Bull Racing,20,01:32.729000,,,2,China,2025
12,ANT,Mercedes,1,01:27.858000,01:27.384000,01:26.482000,6,United States,2025
81,PIA,McLaren,2,01:27.951000,01:27.354000,01:26.527000,6,United States,2025
4,NOR,McLaren,3,01:27.890000,01:27.109000,01:26.582000,6,United States,2025
1,VER,Red Bull Racing,4,01:27.953000,01:27.245000,01:26.737000,6,United States,2025
63,RUS,Mercedes,5,01:27.688000,01:27.666000,01:26.791000,6,United States,2025
16,LEC,Ferrari,6,01:28.325000,01:27.467000,01:26.808000,6,United States,2025
44,HAM,Ferrari,7,01:28.231000,01:27.546000,01:27.030000,6,United States,2025
23,ALB,Williams,8,01:27.859000,01:27.697000,01:27.193000,6,United States,2025
6,HAD,Racing Bulls,9,01:28.394000,01:27.773000,01:27.543000,6,United States,2025
14,ALO,Aston Martin,10,01:28.455000,01:27.766000,01:27.790000,6,United States,2025
27,HUL,Kick Sauber,11,01:28.542000,01:27.850000,,6,United States,2025
31,OCO,Haas F1 Team,12,01:28.303000,01:28.070000,,6,United States,2025
10,GAS,Alpine,13,01:28.345000,01:28.167000,,6,United States,2025
30,LAW,Racing Bulls,14,01:28.914000,01:28.375000,,6,United States,2025
55,SAI,Williams,15,01:27.899000,,,6,United States,2025
18,STR,Aston Martin,16,01:29.028000,,,6,United States,2025
7,DOO,Alpine,17,01:29.171000,,,6,United States,2025
22,TSU,Red Bull Racing,18,01:29.246000,,,6,United States,2025
5,BOR,Kick Sauber,19,01:29.312000,,,6,United States,2025
87,BEA,Haas F1 Team,20,01:29.825000,,,6,United States,2025
